"","LGA","Rep_DS","State","U5_coverage","adult_coverage","severe_cases","simday","duration","year","start_day_override","scenario"
"192","Enugu East","Uzo-Uwani",NA,0.767123269,0.767123269,0.49,0,-1,2020,-1,"Scenario 1"
"193","Enugu North","Uzo-Uwani",NA,0.420192485,0.420192485,0.49,0,-1,2020,-1,"Scenario 1"
"194","Enugu South","Uzo-Uwani",NA,0.514893508,0.514893508,0.49,0,-1,2020,-1,"Scenario 1"
"195","Epe","Uzo-Uwani",NA,0.420192485,0.420192485,0.49,0,-1,2020,-1,"Scenario 1"
"196","Esan Central","Owan East",NA,0.278942779,0.278942779,0.49,0,-1,2020,-1,"Scenario 1"
"197","Esan North East","Uzo-Uwani",NA,0.420192485,0.420192485,0.49,0,-1,2020,-1,"Scenario 1"
"198","Esan South East","Uzo-Uwani",NA,0.420192485,0.420192485,0.49,0,-1,2020,-1,"Scenario 1"
"199","Esan West","Uzo-Uwani",NA,0.420192485,0.420192485,0.49,0,-1,2020,-1,"Scenario 1"
"200","Ese-Odo","Owan East",NA,0.278942779,0.278942779,0.49,0,-1,2020,-1,"Scenario 1"
"201","Esit Eket","Nsit Ubium",NA,0.071428571,0.071428571,0.49,0,-1,2020,-1,"Scenario 1"
"202","Essien Udim","Ngor-Okpala",NA,0.219281699,0.219281699,0.49,0,-1,2020,-1,"Scenario 1"
"203","Etche","Ngor-Okpala",NA,0.283373403,0.283373403,0.49,0,-1,2020,-1,"Scenario 1"
"204","Ethiope East","Isoko South",NA,0.12159624,0.12159624,0.49,0,-1,2020,-1,"Scenario 1"
"205","Ethiope West","Isoko South",NA,0.12159624,0.12159624,0.49,0,-1,2020,-1,"Scenario 1"
"206","Etim Ekpo","Isoko South",NA,0.12159624,0.12159624,0.49,0,-1,2020,-1,"Scenario 1"
"207","Etinan","Ngor-Okpala",NA,0.283373403,0.283373403,0.49,0,-1,2020,-1,"Scenario 1"
"208","Eti-Osa","Nsit Ubium",NA,0.297727761,0.297727761,0.49,0,-1,2020,-1,"Scenario 1"
"209","Etsako Central","Owan East",NA,0.278942779,0.278942779,0.49,0,-1,2020,-1,"Scenario 1"
"210","Etsako East","Owan East",NA,0.077954241,0.077954241,0.49,0,-1,2020,-1,"Scenario 1"
"211","Etsako West","Owan East",NA,0.080351586,0.080351586,0.49,0,-1,2020,-1,"Scenario 1"
"212","Etung","Obubra",NA,0.2,0.2,0.49,0,-1,2020,-1,"Scenario 1"
"213","Ewekoro","Uzo-Uwani",NA,0.420192485,0.420192485,0.49,0,-1,2020,-1,"Scenario 1"
"214","Ezeagu","Uzo-Uwani",NA,0.434581511,0.434581511,0.49,0,-1,2020,-1,"Scenario 1"
"215","Ezinihitte","Ngor-Okpala",NA,0.388958352,0.388958352,0.49,0,-1,2020,-1,"Scenario 1"
"216","Ezza North","Owan East",NA,0.19047619,0.19047619,0.49,0,-1,2020,-1,"Scenario 1"
"217","Ezza South","Obubra",NA,0.478845956,0.478845956,0.49,0,-1,2020,-1,"Scenario 1"
"218","Fagge","Alkaleri",NA,0.234127553,0.234127553,0.49,0,-1,2020,-1,"Scenario 1"
